Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.911343148218569,93.51499651925405,49,400,4.496100073332795e-189,[0.87 0.94]
ICC2,Single random raters,0.9115184539444037,117.05887101212647,49,392,4.7979794029644584e-204,[0.87 0.94]
ICC3,Single fixed raters,0.9280338937401145,117.05887101212647,49,392,4.7979794029644584e-204,[0.9  0.95]
ICC1k,Average raters absolute,0.989306527966409,93.51499651925405,49,400,4.496100073332795e-189,[0.98 0.99]
ICC2k,Average random raters,0.989329477719513,117.05887101212647,49,392,4.7979794029644584e-204,[0.98 0.99]
ICC3k,Average fixed raters,0.9914572898973507,117.05887101212647,49,392,4.7979794029644584e-204,[0.99 0.99]
